column,dtype,missing_count,missing_percent,unique_values,mean,std,min,median,max
Date Time,datetime64[ns],0,0.0,165874,,,,,
p (mbar),float64,0,0.0,5350,989.072278,8.532977,913.6,989.36,1012.84
T (degC),float64,0,0.0,5389,9.516624,8.685356,-23.01,9.43,37.28
Tpot (K),float64,0,0.0,5487,283.570876,8.757743,250.6,283.51,311.34
Tdew (degC),float64,0,0.0,4174,5.008086,7.033515,-25.01,5.46,21.91
rh (%),float64,0,0.0,4575,75.908442,16.294269,12.95,79.1,100.0
VPmax (mbar),float64,0,0.0,3571,13.730006,7.966468,0.95,11.83,63.77
VPact (mbar),float64,0,0.0,2274,9.630613,4.295431,0.79,9.01,26.34
VPdef (mbar),float64,0,0.0,3276,4.099292,5.024494,0.0,2.2,46.01
sh (g/kg),float64,0,0.0,1471,6.084507,2.724497,0.5,5.69,16.77
H2OC (mmol/mol),float64,0,0.0,2301,9.738983,4.344679,0.8,9.12,26.69
rho (g/m**3),float64,0,0.0,20769,1215.630814,41.221922,1059.45,1212.88,1393.54
wv (m/s),float64,0,0.0,1126,2.143802,1.556403,0.0,1.77,14.09
max. wv (m/s),float64,0,0.0,1308,3.563758,2.367731,0.0,3.0,20.99
wd (deg),float64,0,0.0,9683,174.279725,86.557325,0.0,197.8,360.0
year,int32,0,0.0,9,2012.497741,2.291459,2009.0,2012.0,2017.0
month,int32,0,0.0,12,6.49482,3.454178,1.0,6.0,12.0
day,int32,0,0.0,12,6.500355,3.450718,1.0,7.0,12.0
hour,int32,0,0.0,24,11.499229,6.921862,0.0,11.0,23.0
dayofyear,int32,0,0.0,154,173.051639,105.192573,1.0,164.0,347.0
