feature,correlation_with_target
Tpot (K),0.9968855332121497
rho (g/m**3),-0.9631643139656079
VPmax (mbar),0.9464933650182993
Tdew (degC),0.903247318439596
VPact (mbar),0.875093186764945
H2OC (mmol/mol),0.8745397631091862
sh (g/kg),0.8741295783346197
VPdef (mbar),0.7525629364195764
rh (%),-0.5531074309566585
day,0.2680400706821895
hour,0.14924447742581468
max. wv (m/s),0.10927994631715016
year,0.10344645705101839
wv (m/s),0.0750579852236584
p (mbar),-0.0332137626671361
wd (deg),0.02044121302154597
dayofyear,0.0080443150346741
month,-0.0006121533103699778
