Date Time,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),year,month,day,hour,dayofyear
2009-01-01 00:10:00,996.52,-8.02,265.4,-8.9,93.3,3.33,3.11,0.22,1.94,3.12,1307.75,1.03,1.75,152.3,2009,1,1,0,1
2009-01-01 00:20:00,996.57,-8.41,265.01,-9.28,93.4,3.23,3.02,0.21,1.89,3.03,1309.8,0.72,1.5,136.1,2009,1,1,0,1
2009-01-01 00:30:00,996.53,-8.51,264.91,-9.31,93.9,3.21,3.01,0.2,1.88,3.02,1310.24,0.19,0.63,171.6,2009,1,1,0,1
2009-01-01 00:40:00,996.51,-8.31,265.12,-9.07,94.2,3.26,3.07,0.19,1.92,3.08,1309.19,0.34,0.5,198.0,2009,1,1,0,1
2009-01-01 00:50:00,996.51,-8.27,265.15,-9.04,94.1,3.27,3.08,0.19,1.92,3.09,1309.0,0.32,0.63,214.3,2009,1,1,0,1
2009-01-01 01:00:00,996.5,-8.05,265.38,-8.78,94.4,3.33,3.14,0.19,1.96,3.15,1307.86,0.21,0.63,192.7,2009,1,1,1,1
2009-01-01 01:10:00,996.5,-7.62,265.81,-8.3,94.8,3.44,3.26,0.18,2.04,3.27,1305.68,0.18,0.63,166.5,2009,1,1,1,1
2009-01-01 01:20:00,996.5,-7.62,265.81,-8.36,94.4,3.44,3.25,0.19,2.03,3.26,1305.69,0.19,0.5,118.6,2009,1,1,1,1
2009-01-01 01:30:00,996.5,-7.91,265.52,-8.73,93.8,3.36,3.15,0.21,1.97,3.16,1307.17,0.28,0.75,188.5,2009,1,1,1,1
2009-01-01 01:40:00,996.53,-8.43,264.99,-9.34,93.1,3.23,3.0,0.22,1.88,3.02,1309.85,0.59,0.88,185.0,2009,1,1,1,1
2009-01-01 01:50:00,996.62,-8.76,264.66,-9.66,93.1,3.14,2.93,0.22,1.83,2.94,1311.64,0.45,0.88,183.2,2009,1,1,1,1
2009-01-01 02:00:00,996.62,-8.88,264.54,-9.77,93.2,3.12,2.9,0.21,1.81,2.91,1312.25,0.25,0.63,190.3,2009,1,1,2,1
2009-01-01 02:10:00,996.63,-8.85,264.57,-9.7,93.5,3.12,2.92,0.2,1.82,2.93,1312.11,0.16,0.5,158.3,2009,1,1,2,1
2009-01-01 02:20:00,996.74,-8.83,264.58,-9.68,93.5,3.13,2.92,0.2,1.83,2.93,1312.15,0.36,0.63,184.8,2009,1,1,2,1
2009-01-01 02:30:00,996.81,-8.66,264.74,-9.46,93.9,3.17,2.98,0.19,1.86,2.99,1311.37,0.33,0.75,155.9,2009,1,1,2,1
2009-01-01 02:40:00,996.81,-8.66,264.74,-9.5,93.6,3.17,2.97,0.2,1.85,2.98,1311.38,0.07,0.5,272.4,2009,1,1,2,1
2009-01-01 02:50:00,996.86,-8.7,264.7,-9.55,93.5,3.16,2.95,0.21,1.85,2.96,1311.64,0.32,0.63,219.2,2009,1,1,2,1
2009-01-01 03:00:00,996.84,-8.81,264.59,-9.66,93.5,3.13,2.93,0.2,1.83,2.94,1312.18,0.18,0.63,167.2,2009,1,1,3,1
2009-01-01 03:10:00,996.87,-8.84,264.56,-9.69,93.5,3.13,2.92,0.2,1.83,2.93,1312.37,0.07,0.25,129.3,2009,1,1,3,1
2009-01-01 03:20:00,996.97,-8.94,264.45,-9.82,93.3,3.1,2.89,0.21,1.81,2.9,1313.01,0.1,0.63,115.3,2009,1,1,3,1
2009-01-01 03:30:00,997.08,-8.94,264.44,-9.8,93.4,3.1,2.9,0.2,1.81,2.9,1313.15,0.3,0.75,149.3,2009,1,1,3,1
2009-01-01 03:40:00,997.1,-8.86,264.52,-9.76,93.1,3.12,2.9,0.22,1.81,2.91,1312.78,0.29,0.75,149.7,2009,1,1,3,1
2009-01-01 03:50:00,997.06,-8.99,264.39,-9.99,92.4,3.09,2.85,0.23,1.78,2.86,1313.39,0.12,0.63,231.7,2009,1,1,3,1
2009-01-01 04:00:00,996.99,-9.05,264.34,-10.02,92.6,3.07,2.85,0.23,1.78,2.85,1313.61,0.1,0.38,240.0,2009,1,1,4,1
2009-01-01 04:10:00,997.05,-9.23,264.15,-10.25,92.2,3.03,2.79,0.24,1.74,2.8,1314.62,0.1,0.38,203.9,2009,1,1,4,1
2009-01-01 04:20:00,997.11,-9.49,263.89,-10.54,92.0,2.97,2.73,0.24,1.71,2.74,1316.02,0.34,0.75,159.7,2009,1,1,4,1
2009-01-01 04:30:00,997.19,-9.5,263.87,-10.51,92.3,2.97,2.74,0.23,1.71,2.75,1316.16,0.43,0.88,66.16,2009,1,1,4,1
2009-01-01 04:40:00,997.24,-9.35,264.02,-10.29,92.8,3.0,2.79,0.22,1.74,2.79,1315.47,0.4,0.88,105.0,2009,1,1,4,1
