,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),year,month,day,hour,dayofyear
p (mbar),1.0,-0.0332137626671361,-0.11189131246843534,-0.07109188185376002,-0.06098285694166438,-0.0034626832205205175,-0.037022965413452014,0.026155430101562727,-0.052154337044863476,-0.052285218254991384,0.29652372376676583,-0.18311417548363768,-0.1744939727085805,-0.07936324146244315,0.11618019123776652,0.019986742227687548,0.030912391265462347,-0.009468942184130743,0.02114908842928594
T (degC),-0.0332137626671361,1.0,0.9968855332121497,0.903247318439596,-0.5531074309566585,0.9464933650182993,0.875093186764945,0.7525629364195764,0.8741295783346197,0.8745397631091862,-0.9631643139656079,0.0750579852236584,0.10927994631715016,0.02044121302154597,0.10344645705101839,-0.0006121533103699778,0.2680400706821895,0.14924447742581468,0.0080443150346741
Tpot (K),-0.11189131246843534,0.9968855332121497,1.0,0.9036018027559665,-0.5452698132030117,0.9415234013327956,0.8731189116259914,0.7463712296926077,0.8733695491132517,0.8737867461786394,-0.980986449106768,0.08918365771906116,0.12251228343179979,0.02669715027958824,0.09363231272313201,-0.0020850954928873693,0.2639395906451193,0.1492120351758278,0.006426182778026341
Tdew (degC),-0.07109188185376002,0.903247318439596,0.9036018027559665,1.0,-0.1504575462874819,0.7964921484036458,0.9652069524744694,0.4376928207759283,0.9646352435179029,0.9650921461242745,-0.8961461384147169,-0.057890231535371144,-0.04275559040275014,0.0378536829717013,0.09658459501487196,0.004647346720887647,0.3519535656853094,0.034797375580514545,0.016049787619286163
rh (%),-0.06098285694166438,-0.5531074309566585,-0.5452698132030117,-0.1504575462874819,1.0,-0.609790510890956,-0.1512865038161344,-0.8375019392871663,-0.1501424121895627,-0.15021370316777305,0.485050020472621,-0.3028698142984185,-0.35364884009353525,0.008390924277267413,-0.053370244511020286,0.011626869676363973,0.07232687955341312,-0.2901544165601983,0.014024271302251
VPmax (mbar),-0.0034626832205205175,0.9464933650182993,0.9415234013327956,0.7964921484036458,-0.609790510890956,1.0,0.8280340614170945,0.8776345096414481,0.8274581209633461,0.8274628692696789,-0.8910258095712603,0.07696066304787201,0.10882433032517054,-0.02601221743202893,0.081729268252187,-0.00448014792071351,0.2148827437515212,0.16370754504254717,0.002413813021112404
VPact (mbar),-0.037022965413452014,0.875093186764945,0.8731189116259914,0.9652069524744694,-0.1512865038161344,0.8280340614170945,1.0,0.457961916142736,0.9998547624211379,0.9998580368348262,-0.8540958939996609,-0.0814281155103558,-0.07071335378542702,0.0058164093917818,0.07110614339541557,0.0006176586313944702,0.31751867566790276,0.03621772982895308,0.010819135093598843
VPdef (mbar),0.026155430101562727,0.7525629364195764,0.7463712296926077,0.4376928207759283,-0.8375019392871663,0.8776345096414481,0.457961916142736,1.0,0.45717265268412627,0.4571773552665135,-0.6825695882337006,0.19163953345053059,0.23299920799601015,-0.04621299792136866,0.06879476908669113,-0.0076324643937937895,0.06925241105622974,0.2285978308582684,-0.005423225998078959
sh (g/kg),-0.052154337044863476,0.8741295783346197,0.8733695491132517,0.9646352435179029,-0.1501424121895627,0.8274581209633461,0.9998547624211379,0.45717265268412627,1.0,0.999997381196028,-0.8570499702128074,-0.07852954420347236,-0.06805356434191011,0.0071493367974398685,0.06862303676398099,0.0006497962090120592,0.3160662905493365,0.03649339398078113,0.010799869038958337
H2OC (mmol/mol),-0.052285218254991384,0.8745397631091862,0.8737867461786394,0.9650921461242745,-0.15021370316777305,0.8274628692696789,0.9998580368348262,0.4571773552665135,0.999997381196028,1.0,-0.8575121449443814,-0.07842879637884485,-0.06792277383745308,0.007366759858549297,0.06873920910675768,0.0006796582490955208,0.31642753887294556,0.03646840453463895,0.010842354120126612
