PC1,PC2,year,month,T (degC)
-5.4935477903023155,-0.7840091979055571,2009,1,-8.02
-5.593003257489394,-0.9251813784476489,2009,1,-8.41
-5.632481890065607,-1.3210519377231307,2009,1,-8.51
-5.582319491029491,-1.3297679468006696,2009,1,-8.31
-5.571349767517617,-1.313054688121185,2009,1,-8.27
-5.514050198058093,-1.328955666189316,2009,1,-8.05
-5.413871475544366,-1.3576917230314232,2009,1,-7.62
-5.418884025217821,-1.348728461922221,2009,1,-7.62
-5.4814509401318245,-1.2614801866854413,2009,1,-7.91
-5.5978858010946055,-1.0868240248269554,2009,1,-8.43
-5.677055009915139,-1.1217372739134672,2009,1,-8.76
-5.704438767952644,-1.216370526603351,2009,1,-8.88
-5.701723757311351,-1.2728409143211707,2009,1,-8.85
-5.692732851461993,-1.1915700139346899,2009,1,-8.83
-5.653837470811552,-1.1832234371459196,2009,1,-8.66
-5.656096274832874,-1.364897671887052,2009,1,-8.66
-5.663163632790358,-1.2255042054641108,2009,1,-8.7
-5.685770006136923,-1.2170494212855105,2009,1,-8.81
-5.701331163766523,-1.3204246262154984,2009,1,-8.84
-5.722060146577713,-1.2104595172158403,2009,1,-8.94
-5.717615859203758,-1.1379138099656074,2009,1,-8.94
-5.700903164693827,-1.1329717432223776,2009,1,-8.86
-5.731372898048459,-1.2233196078064412,2009,1,-8.99
-5.7381721989662,-1.264565958323477,2009,1,-9.05
-5.783998270272148,-1.229122320778918,2009,1,-9.23
-5.836686995806862,-1.0344048014057845,2009,1,-9.49
-5.841668194286655,-0.9458025670128227,2009,1,-9.5
-5.806516379797885,-0.9950603757299537,2009,1,-9.35
-5.837377255263429,-1.0270937504016746,2009,1,-9.47
-5.864968314132968,-0.9621334420493125,2009,1,-9.63
-5.876255951042286,-1.0053918211281125,2009,1,-9.67
-5.88675361914296,-1.1344411036761957,2009,1,-9.68
-5.932252171533158,-0.9100986534947975,2009,1,-9.9
-5.932141670949538,-0.8598816754617045,2009,1,-9.91
-5.842598899365233,-1.062953454104775,2009,1,-9.51
-5.881750351437343,-1.1473712249780486,2009,1,-9.67
-5.857550331218248,-1.056390503212097,2009,1,-9.59
-5.763129900473543,-1.1361040423197977,2009,1,-9.15
-5.707289750009027,-0.9186073291921596,2009,1,-8.91
-5.702938717279918,-0.11657509470904912,2009,1,-9.04
-5.749559486276186,0.3014267542319594,2009,1,-9.43
-5.699837394566672,-0.0387696465275733,2009,1,-9.17
-5.599222469631436,-0.09152942061013715,2009,1,-8.71
-5.569891649747781,-0.2251039601841327,2009,1,-8.55
-5.5668110891799305,-0.7912747529313309,2009,1,-8.4
-5.5511353559139875,-0.8791697878156551,2009,1,-8.3
-5.5216016758000555,-0.9276403568855921,2009,1,-8.13
-5.507847964190333,-0.8074087664182662,2009,1,-8.1
-5.521265766369101,-0.8714108114719759,2009,1,-8.14
-5.508368688354694,-0.9646955478534593,2009,1,-8.06
-5.480373090747816,-1.0137079009686316,2009,1,-7.95
-5.446548998056745,-1.0039329387760905,2009,1,-7.74
-5.413402087472219,-1.1313222960661125,2009,1,-7.57
-5.424871398328025,-1.0036283211981687,2009,1,-7.66
-5.441126079790904,-1.1152929780368233,2009,1,-7.71
-5.404436314927186,-1.2041832608625818,2009,1,-7.56
-5.316367345595027,-0.4217395509714932,2009,1,-7.29
-5.271382324053447,-0.07660183831820443,2009,1,-7.15
-5.227442239908872,-0.2637156620534612,2009,1,-7.02
-5.228927491670684,-0.16479294514918047,2009,1,-7.04
-5.238524683127558,-0.32029886994858364,2009,1,-7.03
-5.2485517483230995,0.14160443274411177,2009,1,-7.15
-5.28613408719216,-0.040496592900926755,2009,1,-7.26
-5.30689976271759,0.001961752115822632,2009,1,-7.34
-5.3068108377573395,0.039442975801679846,2009,1,-7.35
-5.310890852956642,0.14845329244706498,2009,1,-7.41
-5.332006098106681,0.07970277413837157,2009,1,-7.48
-5.330108944638286,-0.326644026230526,2009,1,-7.38
-5.28662179558634,-0.22742834105835127,2009,1,-7.21
-5.281458930337186,-0.3353730826855996,2009,1,-7.16
-5.226159919836759,0.06853114534694371,2009,1,-7.03
-5.185097925077579,0.0503062115888503,2009,1,-6.87
-5.149271136455346,0.20059738275160852,2009,1,-6.77
-5.132774391710305,0.14923712107764162,2009,1,-6.7
-5.099612255042519,0.31669678314919447,2009,1,-6.61
-5.100294587601516,-0.14818900788587563,2009,1,-6.51
-5.064132258029439,-0.8330123076151136,2009,1,-6.21
-4.97872227490473,-0.6459173156710805,2009,1,-5.89
-4.961271483740357,-0.48312819249864747,2009,1,-5.83
-4.939291276396045,-0.4180752129586109,2009,1,-5.76
-4.963276917203251,-0.12797427650148877,2009,1,-5.9
-4.978822225832512,-0.2719230040102582,2009,1,-5.97
-4.950241004201719,-0.17557276828978893,2009,1,-5.88
-4.959241753046886,-0.22065285880011853,2009,1,-5.94
-4.934389803924215,-0.29644045233354666,2009,1,-5.84
-4.917277935835422,-0.30468036460234793,2009,1,-5.76
-4.910654457249407,-0.2536650692761413,2009,1,-5.75
-4.90864463645761,-0.17591496355323064,2009,1,-5.76
-4.892594749692692,-0.024979968731208363,2009,1,-5.73
-4.891638216643981,-0.2990824283646015,2009,1,-5.69
-4.85477431386991,-0.2802714016277805,2009,1,-5.53
-4.864676988687376,-0.23898926862900902,2009,1,-5.57
-4.844824780752276,-0.5335593373003995,2009,1,-5.43
-4.8137143509627744,-0.43106380553910967,2009,1,-5.32
-4.806077991167578,-0.09254686140731483,2009,1,-5.36
-4.812201366636661,-0.11934977357205759,2009,1,-5.4
-4.804073948450337,-0.39565116673095957,2009,1,-5.31
-4.790634835741072,-0.28628344360757824,2009,1,-5.28
-4.796640940596837,-0.13828252130750057,2009,1,-5.32
-4.79771316986657,-0.34197820590568145,2009,1,-5.29
-4.810561603768411,-0.3694138422972644,2009,1,-5.33
-4.814239359546155,-0.38670522381678224,2009,1,-5.37
-4.820655484856117,-0.18629988245195675,2009,1,-5.43
-4.802673098476813,-0.6230495010116477,2009,1,-5.28
-4.785412380106158,-0.5480324053266042,2009,1,-5.21
-4.784134295913759,-0.5085782760274379,2009,1,-5.21
-4.792048631051257,-0.5036449927778046,2009,1,-5.24
-4.789925830751429,-0.6083164759105563,2009,1,-5.25
-4.767572971201157,-0.5961868921848651,2009,1,-5.16
-4.759021700723728,-0.6539676482849063,2009,1,-5.12
-4.74326135011418,-0.6674829551758225,2009,1,-5.04
-4.737725697215615,-0.6166646815218749,2009,1,-5.01
-4.752865965551096,-0.3746066061574764,2009,1,-5.12
-4.755172843204211,-0.6954342425180912,2009,1,-5.11
-4.7038686917536126,-0.6876633855878894,2009,1,-4.9
-4.701909514547041,-0.7398093135682976,2009,1,-4.86
-4.703154173568372,-0.6073816412764089,2009,1,-4.9
-4.7157396083276115,-0.5483320398470105,2009,1,-4.97
-4.723104312490761,-0.6022308209356045,2009,1,-4.99
-4.686466468360329,-0.5064199386845678,2009,1,-4.9
-4.6945275042596,-0.5341740506683746,2009,1,-4.93
-4.685714423014083,-0.5755719057745138,2009,1,-4.89
-4.682559559937394,-0.30808617835642343,2009,1,-4.93
-4.700068107599607,-0.34636487751675066,2009,1,-5.0
-4.69543198933678,-0.7493984849649479,2009,1,-4.9
-4.657467633919151,-0.6824065656536527,2009,1,-4.8
-4.658732141165927,-0.4437169368159328,2009,1,-4.84
-4.677465532847121,-0.5708654886776563,2009,1,-4.9
-4.672446170152792,-0.7210232694869072,2009,1,-4.86
-4.640552853148688,-0.7510829489767582,2009,1,-4.76
-4.605321841775164,-0.7456744706933561,2009,1,-4.61
-4.57654022982614,-0.7209536557795503,2009,1,-4.5
-4.555977614487317,-0.8003331286903769,2009,1,-4.41
-4.550331313611051,-0.6541596573061914,2009,1,-4.4
-4.534801761587008,-0.7830617725287122,2009,1,-4.32
-4.4934812105602155,-0.7132459695809789,2009,1,-4.17
-4.522554139174807,-0.6286607534217319,2009,1,-4.3
-4.546813927267121,-0.5115770102617169,2009,1,-4.47
-4.559509944588031,-0.639552399102767,2009,1,-4.5
-4.55634862336805,-0.6558759503459495,2009,1,-4.51
-4.5191570814026765,-0.7846952930893129,2009,1,-4.33
-4.50065428654039,-0.5118490108608952,2009,1,-4.33
-4.559547647884902,-0.5182693632280748,2009,1,-4.58
-4.034482051806585,1.608588209274567,2009,1,-2.97
-4.078483004226419,0.9471020679522698,2009,1,-3.01
-4.087150818169812,0.8327766648893585,2009,1,-3.03
-4.084793774321639,1.0325356308114035,2009,1,-3.08
-4.111014910815009,0.6619402770896249,2009,1,-3.13
-4.068581145892749,1.6935214137482257,2009,1,-3.16
-4.058194649391578,1.9858372480642728,2009,1,-3.2
-4.101545241886902,1.4641226924827384,2009,1,-3.25
-4.142326942626054,1.0944164521439284,2009,1,-3.31
-4.162469659132258,1.1527858979446366,2009,1,-3.35
-4.177000938729469,1.2997005881103167,2009,1,-3.4
-4.155439126636484,1.8049305270481049,2009,1,-3.38
-4.184365952733686,1.325317836249661,2009,1,-3.43
-4.179976533456203,1.2036868520765283,2009,1,-3.43
-4.167454389167057,1.342327845402638,2009,1,-3.43
-4.182117816363138,1.0693699757331634,2009,1,-3.46
-4.205094444084787,0.7911239919646893,2009,1,-3.51
-4.204984375922319,0.6539127441263477,2009,1,-3.5
-4.2023146923462775,0.692813325064693,2009,1,-3.53
-4.166814020722351,1.4771675152634174,2009,1,-3.57
-4.174199382852195,1.4400112304436166,2009,1,-3.61
-4.185996731547196,1.1966206420838956,2009,1,-3.63
-4.20202795293696,0.8237376085329078,2009,1,-3.63
-4.211757630663422,0.6058731060898521,2009,1,-3.64
-4.209977995219121,0.7672822429781561,2009,1,-3.68
-4.195748977642127,1.0807702893706652,2009,1,-3.7
-4.219272421498984,0.6735842755299043,2009,1,-3.7
-4.225781748219889,0.3761698101888741,2009,1,-3.67
-4.254112849570163,-0.07059689747725048,2009,1,-3.73
-4.277817297317409,-0.2498342017184859,2009,1,-3.83
-4.296197661896438,-0.2923711414232312,2009,1,-3.95
-4.297145789503244,-0.10774187164890253,2009,1,-4.03
-4.296427912879266,-0.1393017973823304,2009,1,-4.03
-4.303263935615585,-0.27342911727009084,2009,1,-4.03
-4.296926397519932,-0.17400902498227463,2009,1,-4.04
-4.280435674599497,0.4156915153611823,2009,1,-4.13
-4.2717335382882125,0.5073297399238134,2009,1,-4.19
-4.2387025605906095,0.7098568124557888,2009,1,-4.14
-4.241063099379225,1.0962001065816296,2009,1,-4.24
-4.277489905950231,0.9790814461959537,2009,1,-4.39
-4.293255996107115,0.8136181256885315,2009,1,-4.43
-4.320069284911586,0.258908440266455,2009,1,-4.43
-4.3048591484075756,0.3350158166898362,2009,1,-4.41
-4.322978797745204,0.016793678264047138,2009,1,-4.4
-4.312380521592907,-0.1899463877484958,2009,1,-4.3
-4.301099363395194,0.016686983644037492,2009,1,-4.27
-4.291130723812244,-0.043570816280527044,2009,1,-4.18
-4.251578464837561,0.9049402410765225,2009,1,-4.17
-4.291230200324103,0.09249438672567459,2009,1,-4.15
-4.269442611681734,0.4089711632233053,2009,1,-4.13
-4.305671414998166,0.07303898646335485,2009,1,-4.17
-4.302192260438029,0.2365976128260395,2009,1,-4.18
-4.306694476159474,0.47630632792480987,2009,1,-4.24
-4.337270185992057,0.2691415129982789,2009,1,-4.31
-4.301071879946478,1.076320342662237,2009,1,-4.37
-4.294485642135151,1.19887282495397,2009,1,-4.37
-4.292648133368219,0.8026918480223929,2009,1,-4.3
-4.245632602700582,1.3282336960914043,2009,1,-4.21
-4.2090514833388,1.4542897719931827,2009,1,-4.1
-4.163211306961598,0.9918468152978972,2009,1,-3.79
