year,month,row_count
2009,1,1727
2009,2,1728
2009,3,1728
2009,4,1728
2009,5,1728
2009,6,1728
2009,7,1728
2009,8,1726
2009,9,1728
2009,10,1728
2009,11,1728
2009,12,1728
2010,1,1871
2010,2,1729
2010,3,1728
2010,4,1728
2010,5,1728
2010,6,1728
2010,7,1728
2010,8,1728
2010,9,1728
2010,10,1728
2010,11,1728
2010,12,1728
2011,1,1728
2011,2,1728
2011,3,1728
2011,4,1728
2011,5,1728
2011,6,1728
2011,7,1728
2011,8,1728
2011,9,1728
2011,10,1728
2011,11,1728
2011,12,1728
2012,1,1728
2012,2,1728
2012,3,1728
2012,4,1728
2012,5,1728
2012,6,1728
2012,7,1728
2012,8,1728
2012,9,1728
2012,10,1728
2012,11,1728
2012,12,1728
2013,1,1728
2013,2,1728
2013,3,1728
2013,4,1728
2013,5,1728
2013,6,1728
2013,7,1728
2013,8,1728
2013,9,1728
2013,10,1728
2013,11,1728
2013,12,1728
2014,1,1728
2014,2,1728
2014,3,1728
2014,4,1728
2014,5,1728
2014,6,1728
2014,7,1728
2014,8,1728
2014,9,1728
2014,10,1728
2014,11,1728
2014,12,1728
2015,1,1728
2015,2,1728
2015,3,1728
2015,4,1728
2015,5,1728
2015,6,1728
2015,7,1728
2015,8,1728
2015,9,1728
2015,10,1728
2015,11,1728
2015,12,1716
2016,1,1728
2016,2,1728
2016,3,1728
2016,4,1728
2016,5,1728
2016,6,1728
2016,7,1728
2016,8,1728
2016,9,1728
2016,10,1728
2016,11,1728
2016,12,1728
2017,1,1
