TSNE1,TSNE2,year,month,T (degC)
60.419643,42.766224,2012,11,28.97
-41.241455,39.604355,2014,4,4.13
-48.639854,-0.95380443,2015,5,1.9
78.65713,-11.15803,2014,10,23.23
47.07349,7.466165,2010,8,19.23
6.114907,-58.76394,2013,12,3.74
20.39135,-5.5072803,2013,4,13.62
-4.592889,51.227543,2016,9,10.16
46.738167,18.098434,2013,1,18.92
53.86999,-13.033921,2014,1,17.51
-20.307745,-8.566301,2015,11,5.86
23.620495,-18.314274,2016,3,10.33
-43.12041,-57.026806,2016,2,5.43
-45.363667,-61.350945,2016,6,-4.67
14.215753,-16.109615,2009,5,10.6
10.648011,3.8659072,2010,6,12.31
60.828495,22.634668,2012,2,23.29
-33.558475,-19.886282,2010,6,5.31
3.7757726,51.828293,2016,6,14.52
-13.5595455,-48.438595,2015,12,5.82
47.434452,3.2803204,2013,9,18.16
-43.67014,-60.68909,2016,2,-1.6
5.6579576,22.8842,2009,11,14.5
-3.7686665,3.973942,2013,6,14.69
49.65491,-7.2210236,2015,3,14.41
42.490448,-24.803352,2015,3,16.7
8.452309,-54.112064,2014,12,6.61
19.423199,-27.974787,2015,6,10.03
51.153816,6.6780562,2011,12,17.94
65.43568,46.93462,2015,8,30.41
-27.91616,-67.24713,2015,4,5.79
-13.758652,39.075054,2009,4,9.02
66.31707,-19.293762,2011,8,17.26
-15.976524,-51.4579,2010,9,-0.26
-19.989578,-33.44036,2009,10,3.51
-44.209732,-59.383114,2016,4,-0.23
2.75104,25.916628,2010,10,12.75
7.8361816,-27.27056,2016,8,9.63
-21.062346,13.947064,2012,12,6.24
20.947231,7.2192245,2011,12,14.36
-42.317497,-64.26947,2016,4,-5.87
44.881607,19.030966,2016,2,17.1
60.574074,40.670055,2011,11,27.5
-34.76133,20.485554,2016,11,3.49
1.1013902,-34.998493,2010,6,6.84
-17.306803,-54.345512,2011,11,-2.78
-58.58842,37.776054,2010,2,0.99
41.98221,17.654324,2015,1,16.61
10.817129,2.6214194,2009,5,12.05
21.060755,21.641197,2011,7,16.17
-22.66769,27.689274,2011,11,5.11
51.319103,-24.044226,2011,1,12.82
-5.281524,12.513917,2013,1,9.84
40.114407,-1.5537534,2011,11,15.3
-14.977575,-7.414651,2014,8,9.82
-6.5223746,-13.063569,2009,4,8.35
17.492897,51.168148,2015,9,14.53
-17.258633,-44.41158,2015,6,9.11
62.294117,-27.791405,2012,6,16.32
69.85102,-6.525201,2014,8,17.0
32.99453,2.3274822,2011,8,13.08
5.100689,-14.807206,2011,4,11.43
-20.269796,9.691725,2013,8,5.88
65.94968,7.9804745,2016,6,19.7
-54.732822,7.8666615,2013,8,0.52
37.758007,-44.17313,2011,12,11.63
-48.160572,50.639225,2015,6,3.02
-22.956646,-59.640747,2015,12,-2.37
29.658491,-16.782558,2014,9,12.53
2.4833066,13.329534,2009,2,16.92
36.05649,-50.65879,2010,9,13.87
10.351082,5.8473506,2010,5,12.28
-56.619408,9.484301,2013,8,-1.89
-86.51242,16.729486,2012,2,-14.1
30.803757,-50.30885,2009,9,11.61
-4.570834,-45.062733,2011,7,5.46
-31.249344,19.028147,2014,4,7.66
59.553326,-6.865389,2013,4,21.92
21.168894,41.90918,2015,10,19.89
-44.395412,-64.00732,2016,7,-3.65
-43.989613,20.641151,2013,2,3.56
60.83346,51.498867,2015,7,36.21
-5.286178,15.331099,2011,2,7.3
-3.117,-54.301987,2009,10,6.59
28.004354,-48.04522,2009,10,11.64
27.288952,-20.327608,2015,1,15.54
48.583412,-42.443718,2013,9,14.41
-1.0549768,-15.837105,2009,3,7.43
-34.9001,50.1944,2013,3,4.71
-40.857853,20.186121,2016,5,3.76
-84.534454,-2.3769825,2013,11,-4.55
4.9639006,5.5758533,2015,3,14.32
23.164604,-21.568434,2015,2,12.91
6.008867,-6.138277,2011,3,9.99
36.61718,-5.8753657,2013,12,11.38
28.072372,11.466033,2010,6,19.09
-12.395788,18.113758,2014,8,8.5
-0.007312066,-54.824493,2013,10,6.71
-31.067863,18.925411,2014,2,6.42
-63.223293,-2.0859401,2011,9,-4.51
42.488926,51.227287,2013,7,22.26
74.90399,-2.5575387,2014,11,20.23
-55.37929,-2.3086066,2013,7,-0.54
17.16258,43.563454,2015,8,15.98
56.789375,29.611305,2012,2,23.74
-2.7140777,-57.292236,2012,9,7.36
68.99297,7.907478,2009,5,18.94
-31.577148,-8.563503,2009,6,5.15
5.5810323,37.946053,2013,6,13.8
-49.023273,49.240696,2015,7,0.92
1.7325469,-41.910225,2012,9,12.12
68.595055,-10.263704,2011,8,17.39
-48.75185,42.202335,2013,3,2.75
-16.430586,-2.1321657,2014,5,5.84
25.161798,1.8649554,2010,7,14.5
1.4918442,-17.23102,2009,1,9.7
11.04809,3.928949,2010,3,11.72
53.72219,10.70846,2012,11,20.75
2.1922517,-66.34923,2016,9,8.63
37.696487,-44.595985,2011,12,10.75
75.19285,-15.019147,2014,11,20.76
54.566284,52.911716,2014,3,24.14
16.394438,-35.517628,2012,5,10.8
17.685825,-7.7881436,2012,3,14.64
21.534966,-17.179415,2014,2,12.27
-21.188648,-29.024479,2010,6,4.02
60.183857,39.279064,2013,7,27.84
34.487236,-56.342648,2009,6,14.01
-40.58954,18.673185,2016,6,4.4
-20.974024,-29.414108,2010,6,4.69
-34.69435,-59.278484,2014,5,0.6
-29.33202,-66.29485,2016,2,8.28
-12.364137,-39.066082,2011,6,1.26
-35.996346,13.559392,2016,11,3.08
62.965637,-29.543245,2013,7,16.2
-18.015713,-61.030716,2015,10,-1.42
6.824189,-48.009933,2014,7,6.2
-59.84177,-8.264668,2015,12,-2.99
-68.869484,11.257087,2015,6,-3.78
35.26977,-55.550568,2009,6,12.55
76.83521,-12.274195,2014,11,21.61
-5.7001085,16.164412,2011,1,7.22
6.354138,-52.266285,2013,11,6.16
51.89366,-2.3268583,2015,7,14.76
29.476404,-22.463425,2014,5,14.58
-38.21534,-7.571345,2009,6,5.17
-48.958015,-18.771015,2016,12,1.5
-2.1417496,-50.206264,2009,10,5.19
45.357464,-35.482365,2014,8,12.8
43.044678,20.035994,2016,3,18.61
0.78919494,-71.186386,2015,12,13.23
-56.334877,41.97552,2010,3,3.85
-76.98907,16.565187,2009,10,-6.92
-48.506767,49.116104,2015,7,1.65
13.895702,26.89363,2014,12,14.23
-14.499133,-45.919147,2014,10,2.4
-17.110676,42.660805,2010,7,8.51
-30.650724,3.9717808,2009,10,3.06
28.29533,27.454266,2009,12,20.21
-34.774597,12.2609415,2014,12,1.77
27.290367,-12.917893,2016,3,10.87
-23.47698,12.928617,2015,8,6.09
7.0629454,16.416529,2009,7,14.61
6.9986835,-8.4626,2010,1,10.61
-37.491146,37.970707,2013,2,4.16
-37.725407,17.706682,2016,8,3.79
-16.76033,-50.434143,2010,10,-0.69
-54.33094,27.689068,2012,1,-0.24
-79.49091,19.707293,2009,11,-12.12
26.023525,-47.720997,2011,9,10.71
37.479984,-46.831837,2012,10,14.88
23.648874,-22.013515,2016,2,13.81
-16.787655,7.7159424,2013,3,8.46
-5.296035,35.282734,2010,7,13.2
13.507517,5.144625,2012,3,17.37
41.64724,-43.220566,2012,11,15.03
-11.862542,-71.016685,2016,7,1.6
-7.243426,3.3784099,2016,1,13.09
56.65093,34.51155,2014,4,23.09
-49.034626,42.894825,2013,3,2.0
-35.43263,-61.707813,2016,3,2.7
-12.12274,-15.837947,2013,2,6.31
15.96053,12.420697,2011,7,15.48
9.982843,31.811039,2015,10,12.78
54.61241,0.3940586,2011,4,17.93
43.43959,-40.240005,2014,10,13.95
-27.578419,-67.53849,2013,4,3.56
-47.48779,44.48452,2013,2,5.08
-9.285609,-49.296856,2010,11,3.97
-31.304884,-23.27768,2010,7,2.37
-54.32229,14.430347,2015,4,-2.17
-31.008938,43.953934,2012,1,6.07
-49.988495,-13.088164,2015,12,3.18
34.92184,28.561598,2012,8,22.59
-51.942177,-10.125403,2014,11,1.51
4.369823,51.87218,2014,5,15.5
-36.899853,-61.677654,2015,2,4.23
51.1453,16.874521,2010,9,23.88
39.72435,53.628918,2013,8,24.2
-26.481054,8.207122,2013,10,3.8
64.96406,32.66181,2013,4,24.35
68.20608,32.66411,2012,1,22.96
28.368742,27.704958,2009,12,20.26
-26.035099,-44.13984,2012,11,-3.55
36.69441,-54.277634,2010,6,13.83
-4.3928704,-29.984632,2012,1,8.64
-9.603389,-53.717808,2010,12,1.3
36.656174,19.983562,2016,7,18.11
22.787104,43.368645,2016,9,17.74
-3.8555012,36.543777,2010,7,18.36
73.79001,2.646936,2013,8,20.03
56.878326,38.661682,2011,5,24.84
-66.926414,22.61535,2009,2,-4.43
-56.49179,12.771558,2013,5,-0.26
-24.744108,-10.17992,2011,10,8.48
33.06838,-25.822784,2015,7,11.79
74.88586,-3.1923897,2014,11,21.06
11.324255,32.467056,2016,11,14.51
-37.42829,-13.34188,2013,8,5.02
-50.982834,-6.6137056,2015,8,3.56
-0.7339125,-65.65775,2016,10,10.01
-7.1546135,-53.966633,2009,10,4.03
22.715069,30.24124,2014,10,16.85
-6.95697,39.14939,2011,8,9.46
-38.747486,-6.1072783,2009,5,-1.73
-58.442425,37.125275,2011,2,-0.74
-37.102394,19.716492,2016,9,0.85
47.966496,43.678486,2010,5,23.33
-22.434114,19.957457,2014,12,5.12
66.112526,33.00642,2011,4,23.56
14.52445,-16.028774,2009,5,8.37
43.308475,-47.34105,2009,11,16.66
11.143012,-13.31644,2009,1,11.02
-43.630028,13.152677,2013,6,-0.99
-39.759182,-46.158653,2010,2,-11.29
16.110817,-33.34066,2012,5,13.13
-84.220924,-0.47131154,2010,11,-7.33
-23.025486,57.42039,2009,10,6.52
-25.780308,12.765415,2015,8,2.8
-40.057777,18.09509,2016,7,1.44
45.628365,-32.41455,2014,5,13.04
-82.533485,19.989273,2012,7,-20.59
12.062956,-11.218378,2010,1,9.9
41.756668,-20.446249,2013,6,14.91
-60.619095,-3.4858732,2013,9,-4.88
33.24948,6.027467,2010,8,15.08
21.071867,41.76827,2015,10,20.53
-49.057873,38.97254,2015,4,-2.07
-10.116517,-32.408283,2010,2,5.42
11.495241,-15.683523,2009,4,12.1
-8.536996,-47.939777,2011,10,0.95
67.46531,44.562344,2015,9,26.7
-38.536777,-24.36033,2010,12,7.64
-11.45904,51.423946,2014,12,14.7
58.276325,-20.098457,2011,5,16.7
74.08133,-6.5459137,2016,10,19.61
58.51072,-31.203114,2011,7,13.5
-7.305731,-25.595928,2012,4,5.96
-26.916542,20.710375,2012,8,3.56
62.87555,-3.717759,2011,1,16.98
52.606117,-21.28153,2013,1,15.7
34.963806,30.341564,2011,9,22.76
-15.077158,49.60613,2011,11,11.02
28.738798,9.784702,2009,6,16.21
-9.597311,-39.319664,2012,3,0.05
-68.71823,11.297173,2015,6,-3.44
18.155275,-10.196443,2011,1,11.47
-32.079792,23.488874,2014,12,2.48
0.21708359,-28.2846,2014,4,11.97
37.779884,-20.655035,2016,2,16.19
-47.289547,19.870583,2014,3,4.5
18.504889,20.047659,2009,11,12.44
67.82114,44.124954,2015,11,27.16
-30.761658,3.9596956,2009,10,3.14
31.810719,-44.464092,2012,9,16.72
-68.10247,25.412024,2011,4,-5.42
13.009173,-16.737965,2009,5,10.23
-42.938274,47.16093,2016,5,4.81
66.81381,45.521626,2015,6,27.47
-46.984196,37.705814,2013,6,0.2
-41.45961,-46.41319,2010,2,-11.82
50.28354,-23.363245,2012,2,12.13
-39.08915,15.486728,2016,9,6.23
-14.677744,-61.21148,2015,11,0.92
21.478643,32.68565,2012,11,17.07
49.29386,-18.862726,2009,3,15.71
35.42379,29.529215,2012,10,23.13
22.920214,-37.51176,2015,11,9.09
-46.73723,33.6549,2015,3,2.04
6.115439,-5.480791,2011,3,9.8
43.927296,43.52845,2012,4,20.86
30.018347,-38.161125,2014,12,13.55
-46.61393,21.10164,2013,4,2.44
3.4727936,-49.705925,2012,8,7.34
-0.43362948,-51.04275,2010,10,7.0
43.968952,-40.025555,2014,9,12.88
72.629814,-12.827293,2015,8,22.46
57.660534,16.240831,2013,3,19.74
-29.865416,-10.580108,2009,6,6.76
36.128937,-34.28353,2015,11,14.34
-11.790034,40.439148,2009,3,7.71
-68.73378,24.354578,2011,5,-9.63
6.877471,23.467697,2009,9,16.44
-76.880135,18.272318,2009,8,-8.07
-30.13022,-59.801792,2015,6,5.88
-17.903309,-68.20446,2014,6,2.86
3.3428967,0.18206613,2015,9,10.78
24.695808,53.35184,2016,9,22.08
-31.740425,1.2181909,2009,7,1.43
-63.077263,17.943241,2009,1,-3.21
62.28113,27.508333,2014,8,27.82
57.437263,0.8461908,2009,1,19.43
57.834854,21.73224,2011,3,21.49
48.92463,50.91725,2016,5,25.46
1.2964548,-44.16382,2014,8,11.61
-50.976112,3.6135428,2013,1,-0.31
-4.165515,51.40058,2016,10,12.32
-25.210129,47.5885,2014,6,7.18
11.779938,-17.383846,2010,4,10.75
-61.708645,44.727528,2011,7,-1.51
20.41051,22.459932,2009,7,14.33
-42.635704,-52.230267,2014,1,-0.07
-31.526241,-59.46049,2013,5,2.07
3.6658115,43.247326,2013,4,14.32
32.51479,-47.003906,2011,11,11.38
61.560696,50.59436,2015,6,34.12
-21.295015,-66.97214,2015,9,4.53
51.173847,16.77281,2010,8,22.83
0.16690268,18.280516,2014,5,11.91
-4.9767923,-55.34953,2009,9,5.4
-12.383116,-27.092718,2012,4,0.14
53.18183,18.86365,2014,9,24.18
-0.9755168,-23.822725,2010,1,4.76
57.05763,-22.478062,2011,5,15.25
-67.43123,11.674332,2015,6,-2.67
-26.96515,51.583084,2011,6,9.04
-45.68169,-14.117323,2016,12,3.94
12.481394,-10.411454,2010,3,8.37
-41.815067,14.66651,2013,7,0.73
64.29623,46.940285,2015,6,29.9
28.386513,-36.72415,2012,11,14.5
-14.960712,2.2253718,2012,4,5.5
41.35427,48.47716,2013,6,19.41
5.281385,-9.74365,2010,1,9.01
61.58211,-19.055319,2010,7,17.95
21.822536,-53.03174,2009,12,8.23
30.749456,-50.797222,2010,8,10.37
-25.638668,-34.75864,2011,7,4.72
-56.455765,-7.59915,2016,9,-2.31
-26.888945,55.852715,2012,2,11.72
-1.5430782,-12.989868,2011,1,9.03
1.4988341,-7.873814,2011,4,7.48
27.160051,-0.06895397,2009,8,13.04
51.73559,2.4602911,2014,10,17.03
62.94191,-2.1755528,2012,2,15.44
-13.842524,36.124203,2009,3,12.16
-28.61683,-9.983946,2009,7,8.14
-42.58614,-64.69236,2016,5,-6.11
-60.333405,30.685278,2009,4,-0.86
60.808804,31.962101,2015,7,27.15
21.38302,-23.15084,2016,2,10.23
17.244293,30.454943,2013,10,16.44
-23.147305,-4.3032813,2012,11,10.03
-36.948925,-60.773773,2015,5,2.66
-19.444986,-13.05901,2014,12,8.74
23.246021,22.837425,2009,10,16.42
-57.268494,42.924767,2010,5,-0.77
12.571237,-12.46186,2011,2,10.36
2.0099907,-18.669918,2011,3,9.57
16.561537,-11.188404,2010,2,14.7
-1.2749468,-43.082428,2011,9,10.4
-35.13225,11.680346,2014,12,1.3
34.230804,6.076496,2010,5,16.86
-5.7829,17.045614,2009,1,6.54
-17.389668,-57.937077,2011,12,-1.27
57.795815,-9.820624,2012,1,19.4
-28.977009,-8.570562,2009,8,8.29
-67.156494,11.734222,2015,6,-2.85
-10.378914,-69.62421,2016,9,-2.66
31.574768,32.38545,2013,10,22.24
-27.19808,-49.21728,2015,12,5.25
-77.14399,-2.218214,2013,12,-1.49
34.261356,14.568722,2013,8,14.87
3.5810792,-8.515182,2011,4,10.35
-49.902493,33.932922,2012,5,2.14
-36.282158,31.95733,2013,5,4.26
60.093723,28.135927,2013,1,28.66
6.847015,44.354652,2015,2,14.65
-61.698223,44.431934,2011,7,-1.06
71.53252,6.224067,2009,9,22.56
68.32872,0.29915154,2012,5,20.94
16.129045,47.857216,2015,10,14.19
16.129635,33.92514,2012,10,16.27
-28.067585,-14.770327,2010,11,6.77
-23.139147,-54.247784,2012,8,-4.86
48.738617,5.2678075,2010,8,20.05
73.57934,-16.970833,2014,11,18.66
-72.71918,12.311416,2011,6,-2.14
